Ano;Região;UF;Código do Município;Nome do Município;Código da Escola;Nome da Escola;Localização;Dependência Administrativa;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono
2019;Sudeste;SP;3500105;Adamantina;35030806;HELEN KELLER;Urbana;Estadual;0,5;1,5;0,0;0,0;--;--
2019;Sudeste;SP;3500105;Adamantina;35031045;DURVALINO GRION PROF;Urbana;Estadual;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3500105;Adamantina;35031082;EUDECIO LUIZ VICENTE PROF ETEC;Urbana;Estadual;0,2;0,0;0,0;0,7;--;--
2019;Sudeste;SP;3500105;Adamantina;35031100;HERVAL BELLUSCI ENGENHEIRO ETEC;Rural;Estadual;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3500105;Adamantina;35031112;FLEURIDES CAVALLINI MENECHINO PROFA;Urbana;Estadual;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3500105;Adamantina;35079911;EURICO LEITE DE MORAIS PROF EMEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500105;Adamantina;35079923;EMEF PROFA TERUYO KIKUTA;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500105;Adamantina;35079935;EMEF JOSE MACKERT;Rural;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500105;Adamantina;35185954;SAINT GEORGE SCHOOL;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3500105;Adamantina;35197221;ADAMANTINENSE COLEGIO;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3500105;Adamantina;35220796;NAVARRO DE ANDRADE EMEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500105;Adamantina;35268410;CRISTA DE ENSINO ESCOLA;Urbana;Privada;0,9;2,5;0,0;0,0;--;--
2019;Sudeste;SP;3500105;Adamantina;35809469;CLELIA MERLONI MADRE COLEGIO;Urbana;Privada;--;--;--;--;--;--
2019;Sudeste;SP;3500204;Adolfo;35027352;ODILA BOVOLENTA DE MENDONCA PROFESSORA;Urbana;Estadual;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3500204;Adolfo;35202393;RUTH DOS REIS PROFA ESCOLA MUNICIPAL;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500204;Adolfo;35281050;AMILDE TEDESCHI ESCOLA MUNICIPAL;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500303;Aguaí;35020515;JOSE THEODORO DE MORAES;Urbana;Estadual;1,3;2,3;1,3;0,0;--;--
2019;Sudeste;SP;3500303;Aguaí;35020527;GERALDO LOURENCO PADRE;Urbana;Estadual;0,0;0,0;0,0;0,0;--;--
