Ano;Região;UF;Código do Município;Nome do Município;Localização;Dependência Administrativa;Total  ;1ª série;2ª série;3ª série;4ª série;Não-Seriado
2019;Sudeste;SP;3500105;Adamantina;Total;Total;0,2;0,5;0;0,2;--;--
2019;Sudeste;SP;3500105;Adamantina;Urbana;Total;0,2;0,5;0;0,3;--;--
2019;Sudeste;SP;3500105;Adamantina;Rural;Total;0;0;0;0;--;--
2019;Sudeste;SP;3500105;Adamantina;Total;Estadual;0,2;0,3;0;0,3;--;--
2019;Sudeste;SP;3500105;Adamantina;Urbana;Estadual;0,1;0,2;0;0,3;--;--
2019;Sudeste;SP;3500105;Adamantina;Rural;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3500105;Adamantina;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500105;Adamantina;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500105;Adamantina;Rural;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500105;Adamantina;Total;Privada;0,4;1,1;0;0;--;--
2019;Sudeste;SP;3500105;Adamantina;Urbana;Privada;0,4;1,1;0;0;--;--
2019;Sudeste;SP;3500105;Adamantina;Total;Pública;0,2;0,3;0;0,3;--;--
2019;Sudeste;SP;3500105;Adamantina;Urbana;Pública;0,1;0,2;0;0,3;--;--
2019;Sudeste;SP;3500105;Adamantina;Rural;Pública;0;0;0;0;--;--
2019;Sudeste;SP;3500204;Adolfo;Total;Total;0;0;0;0;--;--
2019;Sudeste;SP;3500204;Adolfo;Urbana;Total;0;0;0;0;--;--
2019;Sudeste;SP;3500204;Adolfo;Total;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3500204;Adolfo;Urbana;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3500204;Adolfo;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500204;Adolfo;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500204;Adolfo;Total;Pública;0;0;0;0;--;--
